Date,Description,Amount,Bank Ref
2026-06-01,STARBUCKS STORE 4521,-18.50,B001
2026-06-02,Client Payment A,1200.00,B002
2026-06-04,OFFICE DEPOT #1133,-85.20,B003
2026-06-05,AMAZON WEB SERVICES,-220.00,B004
2026-06-06,Client Payment B,750.00,B005
2026-06-07,Zoom Subscription,-14.99,B006
2026-06-08,Client Payment C,980.00,B007
2026-06-08,Client Payment C,980.00,B008
2026-06-09,WEWORK MONTHLY,-450.00,B009
2026-06-10,Adobe Creative Cloud,-52.99,B010
2026-06-11,Client Payment D,1500.00,B011
2026-06-12,UBER TRIP HELP.UBER.COM,-23.40,B012
2026-06-13,Linkedin Premium,-29.99,B013
2026-06-14,Client Payment E,640.00,B014
2026-06-15,COSTCO WHOLESALE,-310.75,B015
2026-06-16,Bank Service Fee,-35.00,B016
2026-06-17,Client Payment F,1120.00,B017
2026-06-18,GOOGLE ADS,-300.00,B018
2026-06-19,Client Payment G,890.00,B019
2026-06-20,FedEx Shipping,-45.60,B020
2026-06-21,Client Payment H,2200.00,B021
2026-06-22,Slack Subscription,-12.50,B022
2026-06-23,Client Payment I,560.00,B023
2026-06-24,Apple Store,-99.00,B024
2026-06-25,Client Payment J,1340.00,B025
